"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2023","81.61","81.61","81.61","81.61","","0.13%"
"05/25/2023","81.50","81.50","81.50","81.50","","-1.27%"
"05/23/2023","82.55","82.55","82.55","82.55","","-1.13%"
"05/22/2023","83.49","83.49","83.49","83.49","","-2.87%"
"05/19/2023","85.96","85.96","85.96","85.96","","-0.20%"
"05/18/2023","86.13","86.13","86.13","86.13","","-1.39%"
"05/17/2023","87.34","87.34","87.34","87.34","","-0.34%"
"05/16/2023","87.64","87.64","87.64","87.64","","-1.14%"
"05/15/2023","88.65","88.65","88.65","88.65","","-3.22%"
"05/12/2023","91.60","91.60","91.60","91.60","","-0.25%"
"05/11/2023","91.83","91.83","91.83","91.83","","1.25%"
"05/10/2023","90.70","90.70","90.70","90.70","","-0.31%"
"05/09/2023","90.98","90.98","90.98","90.98","","0.01%"
"05/08/2023","90.97","90.97","90.97","90.97","","1.19%"
"05/05/2023","89.90","89.90","89.90","89.90","","0.77%"
"05/04/2023","89.21","89.21","89.21","89.21","","-1.49%"
"05/03/2023","90.56","90.56","90.56","90.56","","-1.22%"
"05/02/2023","91.68","91.68","91.68","91.68","","-1.00%"
"05/01/2023","92.61","92.61","92.61","92.61","","-8.38%"
"04/28/2023","101.08","101.08","101.08","101.08","","-0.12%"
"04/27/2023","101.20","101.20","101.20","101.20","","0.11%"
"04/26/2023","101.09","101.09","101.09","101.09","","-0.62%"
"04/25/2023","101.72","101.72","101.72","101.72","","-0.28%"
"04/24/2023","102.01","102.01","102.01","102.01","","1.24%"
"04/21/2023","100.76","100.76","100.76","100.76","","-0.06%"
"04/20/2023","100.82","100.82","100.82","100.82","","0.90%"
"04/19/2023","99.92","99.92","99.92","99.92","","-1.06%"
"04/18/2023","100.99","100.99","100.99","100.99","","0.14%"
"04/17/2023","100.85","100.85","100.85","100.85","","-1.63%"
"04/14/2023","102.52","102.52","102.52","102.52","","-0.10%"
"04/13/2023","102.62","102.62","102.62","102.62","","-1.45%"
"04/12/2023","104.13","104.13","104.13","104.13","","-1.15%"
"04/11/2023","105.34","105.34","105.34","105.34","","1.38%"
"04/10/2023","103.91","103.91","103.91","103.91","","-0.10%"
"04/06/2023","104.01","104.01","104.01","104.01","","-4.05%"
"04/05/2023","108.40","108.40","108.40","108.40","","-3.27%"
