AVG_PRICE,HOURLY_BUCKET
68.02,01-01 06:00
65.50,01-01 10:00
65.98,01-01 11:00
65.85,01-01 12:00
65.35,01-01 13:00
65.97,01-01 14:00
66.52,01-01 16:00
66.07,01-01 17:00
65.83,01-01 18:00
66.40,01-01 19:00
70.11,01-02 08:00
71.44,01-02 09:00
70.56,01-02 10:00
71.37,01-02 11:00
70.51,01-02 12:00
69.05,01-02 13:00
69.66,01-02 14:00
70.04,01-02 15:00
74.61,01-02 16:00
74.12,01-02 17:00
74.00,01-02 18:00
73.13,01-02 20:00
72.41,01-02 21:00
71.15,01-02 22:00
71.38,01-02 23:00
70.84,01-03 00:00
71.36,01-03 01:00
72.60,01-03 07:00
72.22,01-03 08:00
71.15,01-03 09:00
71.02,01-03 10:00
72.04,01-03 11:00
71.71,01-03 12:00
72.52,01-03 13:00
72.00,01-03 14:00
71.03,01-03 15:00
68.44,01-03 16:00
68.10,01-03 17:00
67.82,01-03 18:00
67.95,01-03 19:00
66.85,01-03 20:00
66.15,01-03 21:00
65.22,01-03 22:00
64.70,01-03 23:00
68.39,01-04 00:00
69.70,01-04 01:00
66.97,01-04 07:00
68.29,01-04 08:00
67.72,01-04 09:00
66.44,01-04 10:00
66.14,01-04 11:00
65.63,01-04 12:00
64.64,01-04 13:00
64.53,01-04 14:00
63.31,01-04 15:00
62.63,01-04 16:00
63.07,01-04 17:00
62.62,01-04 18:00
62.60,01-04 19:00
63.62,01-04 20:00
63.18,01-04 21:00
63.76,01-04 22:00
62.08,01-04 23:00
60.54,01-05 00:00
61.58,01-05 01:00
63.55,01-05 07:00
62.68,01-05 08:00
63.75,01-05 09:00
62.97,01-05 10:00
63.53,01-05 11:00
63.93,01-05 12:00
63.69,01-05 13:00
63.59,01-05 14:00
65.23,01-05 15:00
66.37,01-05 16:00
65.72,01-05 17:00
65.97,01-05 19:00
65.50,01-05 20:00
66.00,01-05 21:00
66.00,01-05 23:00
66.00,01-06 00:00
65.74,01-06 01:00
70.86,01-06 08:00
73.22,01-06 09:00
72.42,01-06 10:00
72.39,01-06 11:00
72.13,01-06 12:00
69.60,01-06 13:00
68.45,01-06 14:00
68.77,01-06 15:00
66.08,01-06 16:00
65.64,01-06 17:00
64.91,01-06 18:00
65.00,01-06 19:00
64.61,01-06 21:00
62.57,01-07 01:00
62.57,01-07 02:00
65.40,01-07 10:00
65.42,01-07 11:00
66.30,01-08 08:00
66.00,01-08 10:00
66.25,01-08 11:00
65.92,01-08 12:00
64.90,01-08 13:00
65.08,01-08 14:00
65.20,01-08 15:00
65.68,01-08 17:00
65.50,01-08 18:00
65.50,01-08 19:00
65.97,01-08 20:00
65.97,01-08 21:00
66.05,01-08 22:00
68.00,01-09 00:00
68.00,01-09 01:00
68.37,01-09 07:00
67.26,01-09 08:00
67.41,01-09 09:00
67.87,01-09 10:00
68.19,01-09 11:00
68.34,01-09 12:00
68.88,01-09 13:00
69.44,01-09 14:00
70.60,01-09 15:00
72.09,01-09 16:00
74.47,01-09 17:00
74.39,01-09 18:00
73.68,01-09 19:00
73.95,01-09 20:00
74.00,01-09 21:00
72.03,01-09 22:00
72.02,01-09 23:00
71.56,01-10 00:00
71.00,01-10 01:00
73.60,01-10 07:00
71.78,01-10 08:00
71.47,01-10 09:00
70.81,01-10 10:00
69.52,01-10 11:00
68.77,01-10 12:00
68.35,01-10 13:00
67.76,01-10 14:00
68.27,01-10 15:00
66.79,01-10 16:00
66.85,01-10 17:00
67.80,01-10 18:00
71.00,01-10 21:00
70.00,01-10 22:00
67.12,01-10 23:00
65.43,01-11 00:00
68.74,01-11 07:00
67.09,01-11 08:00
65.39,01-11 09:00
65.70,01-11 10:00
65.70,01-11 11:00
64.76,01-11 12:00
63.57,01-11 13:00
63.40,01-11 14:00
63.41,01-11 15:00
62.72,01-11 16:00
62.21,01-11 17:00
62.25,01-11 18:00
62.65,01-11 21:00
62.40,01-11 22:00
62.46,01-11 23:00
61.49,01-12 00:00
62.19,01-12 01:00
64.55,01-12 08:00
65.04,01-12 09:00
65.29,01-12 10:00
65.47,01-12 11:00
65.41,01-12 12:00
64.94,01-12 13:00
65.03,01-12 14:00
64.34,01-12 15:00
64.84,01-12 16:00
65.87,01-12 17:00
67.57,01-12 18:00
67.56,01-12 20:00
66.92,01-12 21:00
68.65,01-12 22:00
66.63,01-13 00:00
65.52,01-13 01:00
66.00,01-13 07:00
66.79,01-13 08:00
65.70,01-13 09:00
64.33,01-13 10:00
63.85,01-13 11:00
63.89,01-13 12:00
63.71,01-13 13:00
63.94,01-13 14:00
64.11,01-13 15:00
63.19,01-13 16:00
63.39,01-13 17:00
63.51,01-13 18:00
63.02,01-13 21:00
63.02,01-13 22:00
64.50,01-14 07:00
66.00,01-14 14:00
66.00,01-14 16:00
64.47,01-14 18:00
64.20,01-14 22:00
64.20,01-14 23:00
64.20,01-15 00:00
64.98,01-15 11:00
64.04,01-15 12:00
63.62,01-15 13:00
63.43,01-15 14:00
63.73,01-15 16:00
63.56,01-15 17:00
63.87,01-15 18:00
63.72,01-15 19:00
63.57,01-15 20:00
63.45,01-15 22:00
63.40,01-15 23:00
63.40,01-16 00:00
64.10,01-16 01:00
61.50,01-16 07:00
61.02,01-16 08:00
59.29,01-16 09:00
57.39,01-16 10:00
57.36,01-16 11:00
56.99,01-16 12:00
56.34,01-16 13:00
55.92,01-16 14:00
55.45,01-16 15:00
55.51,01-16 16:00
55.51,01-16 17:00
54.20,01-16 18:00
55.29,01-16 19:00
55.55,01-16 20:00
56.23,01-16 21:00
56.65,01-16 22:00
56.62,01-16 23:00
59.50,01-17 00:00
59.50,01-17 01:00
54.50,01-17 08:00
52.92,01-17 09:00
54.15,01-17 10:00
54.32,01-17 11:00
55.50,01-17 12:00
57.15,01-17 13:00
58.45,01-17 14:00
58.98,01-17 15:00
59.95,01-17 16:00
59.73,01-17 17:00
61.13,01-17 18:00
62.55,01-17 19:00
62.76,01-17 21:00
62.35,01-17 22:00
62.85,01-17 23:00
62.48,01-18 00:00
62.31,01-18 01:00
57.66,01-18 08:00
59.40,01-18 09:00
60.83,01-18 10:00
61.38,01-18 11:00
61.80,01-18 12:00
62.90,01-18 13:00
63.23,01-18 14:00
62.20,01-18 15:00
62.33,01-18 16:00
62.90,01-18 17:00
62.44,01-18 18:00
62.56,01-18 19:00
62.20,01-18 20:00
62.10,01-18 21:00
61.91,01-19 00:00
63.35,01-19 07:00
64.49,01-19 08:00
63.61,01-19 09:00
61.56,01-19 10:00
59.88,01-19 11:00
59.49,01-19 12:00
60.55,01-19 13:00
60.73,01-19 14:00
60.14,01-19 15:00
61.34,01-19 16:00
62.23,01-19 17:00
63.02,01-19 18:00
62.25,01-19 21:00
62.17,01-19 22:00
62.80,01-19 23:00
62.77,01-20 00:00
62.94,01-20 01:00
59.67,01-20 08:00
60.26,01-20 09:00
61.19,01-20 10:00
62.52,01-20 11:00
64.38,01-20 12:00
64.50,01-20 13:00
64.91,01-20 14:00
66.75,01-20 15:00
68.52,01-20 16:00
68.19,01-20 17:00
68.50,01-20 18:00
66.87,01-20 20:00
69.00,01-21 08:00
66.97,01-22 07:00
66.02,01-22 09:00
